Invoice_Number,Invoice_Date,Due_Date,Posting_Date,Vendor_ID,Vendor_Country,Vendor_Payment_Terms,Vendor_Risk_Score,Invoice_Amount,Tax_Amount,Tax_Code,Tax_Rate,Payment_Method,Number_of_Approvals,Approval_Time_Days,Payment_Status,Three_Way_Match,PO_Amount_vs_Invoice_Diff,Goods_Receipt_vs_Invoice_Diff,Historical_Non_Compliance,Non_Compliant
100511,2025-05-26,2025-06-09,2025-05-30,1154,Germany,Net 60,4,33458.63,36.52,C3,12,Wire,1,6,Overdue,Match,447.03,-2,0,0
100512,2025-05-27,2025-06-10,2025-05-31,1489,China,Net 60,6,11167.89,1647.07,B2,18,Wire,3,9,Overdue,Match,183.73,-4,0,0
100513,2025-05-28,2025-06-11,2025-06-01,1385,UK,Net 45,2,11443.04,3305.33,X99,28,ACH,2,39,Paid,Mismatch,7732.6,-4,1,1
100514,2025-05-29,2025-06-12,2025-06-02,1985,Germany,Net 30,2,36595.94,3654.76,C3,28,Cash,3,15,Paid,Mismatch,-323.57,-9,0,0
100515,2025-05-30,2025-06-13,2025-06-03,1784,India,Net 60,2,25264.38,2271.78,D4,28,Credit Card,4,9,Overdue,Match,221.66,8,0,0
100516,2025-05-31,2025-06-14,2025-06-04,1103,India,Net 60,7,21050.21,3424.8,C3,18,Cash,2,23,Overdue,Match,118.05,9,0,0
100517,2025-06-01,2025-06-15,2025-06-05,1928,Germany,Net 45,2,8875.55,1805.97,B2,18,Wire,1,14,Pending,Match,-408.45,7,0,0
100518,2025-06-02,2025-06-16,2025-06-06,1392,USA,Net 60,2,9782.6,3342.35,C3,12,Wire,1,11,Paid,Match,-386.84,-1,0,0
100519,2025-06-03,2025-06-17,2025-06-07,1810,Germany,Net 30,9,1022.31,212.57,D4,5,Cash,3,7,Paid,Match,-391.56,-6,0,0
100520,2025-06-04,2025-06-18,2025-06-08,1245,UK,Net 45,7,5025.6,1959.86,D4,5,ACH,4,24,Pending,Match,224.36,5,0,0
100521,2025-06-05,2025-06-19,2025-06-09,1175,USA,Net 30,3,28063.52,3956.34,B2,5,ACH,4,26,Overdue,Match,-358.28,-6,0,0
100522,2025-06-06,2025-06-20,2025-06-10,1038,India,Net 30,3,44647.72,4017.0,C3,12,Cash,3,2,Overdue,Match,-32.27,4,0,0
100523,2025-06-07,2025-06-21,2025-06-11,1476,Germany,Net 45,7,14714.66,3583.58,A1,5,Wire,2,14,Paid,Match,-143.02,5,0,0
100524,2025-06-08,2025-06-22,2025-06-12,1681,China,Net 60,5,16723.49,1029.15,C3,18,Cash,2,6,Pending,Match,50.5,-7,0,0
100525,2025-06-09,2025-06-23,2025-06-13,1758,China,Net 30,6,6222.48,1243.55,B2,18,Wire,3,5,Overdue,Match,206.48,3,0,0
100526,2025-06-10,2025-06-24,2025-06-14,1537,UK,Net 30,8,19737.23,4980.48,A1,28,Cash,2,5,Paid,Match,184.72,6,0,0
100527,2025-06-11,2025-06-25,2025-06-15,1866,China,Net 30,9,2342.47,525.86,B2,5,ACH,2,29,Overdue,Match,15.52,6,0,0
100528,2025-06-12,2025-06-26,2025-06-16,1817,Germany,Net 30,1,45921.23,911.51,C3,18,Credit Card,2,19,Overdue,Match,-35.67,5,0,0
100529,2025-06-13,2025-06-27,2025-06-17,1920,Germany,Net 45,3,33819.01,658.83,A1,28,Wire,3,19,Overdue,Match,-102.18,-2,0,0
100530,2025-06-14,2025-06-28,2025-06-18,1407,China,Net 45,7,49542.07,1645.0,B2,5,Credit Card,1,6,Paid,Match,361.91,-9,0,0
100531,2025-06-15,2025-06-29,2025-06-19,1524,Germany,Net 30,6,44199.75,1058.78,D4,5,ACH,4,28,Pending,Match,-169.15,0,1,0
100532,2025-06-16,2025-06-30,2025-06-20,1827,UK,Net 60,7,23913.03,2493.46,A1,18,Cash,1,26,Pending,Match,-240.63,4,0,0
100533,2025-06-17,2025-07-01,2025-06-21,1505,USA,Net 30,8,26224.41,2385.34,A1,28,ACH,2,29,Overdue,Match,243.32,-8,0,0
100534,2025-06-18,2025-07-02,2025-06-22,1902,UK,Net 60,6,9933.51,4508.51,B2,28,Credit Card,3,10,Pending,Match,-140.24,5,0,0
100535,2025-06-19,2025-07-03,2025-06-23,1824,UK,Net 30,3,23370.95,183.35,X99,18,ACH,4,73,Overdue,Mismatch,1303.76,8,1,1
100536,2025-06-20,2025-07-04,2025-06-24,1035,Germany,Net 60,2,45199.88,1606.2,A1,18,ACH,2,14,Paid,Match,-172.11,-5,0,0
100537,2025-06-21,2025-07-05,2025-06-25,1684,USA,Net 30,7,3017.24,2987.32,B2,18,Cash,4,17,Paid,Match,201.94,3,1,0
100538,2025-06-22,2025-07-06,2025-06-26,1019,Germany,Net 60,1,43246.06,3027.96,A1,5,Credit Card,4,3,Paid,Match,-454.89,-6,0,0
100539,2025-06-23,2025-07-07,2025-06-27,1320,India,Net 30,3,17376.92,2405.83,A1,18,Credit Card,1,28,Overdue,Match,-114.44,-6,0,0
100540,2025-06-24,2025-07-08,2025-06-28,1775,Germany,Net 30,4,45025.88,4080.17,A1,18,Credit Card,2,1,Pending,Mismatch,-156.77,-5,0,0
100541,2025-06-25,2025-07-09,2025-06-29,1511,Germany,Net 60,1,47073.56,322.98,D4,12,Wire,4,10,Paid,Mismatch,316.68,7,0,0
100542,2025-06-26,2025-07-10,2025-06-30,1399,Germany,Net 45,5,33707.81,4079.28,C3,18,ACH,1,3,Overdue,Match,467.06,7,0,0
100543,2025-06-27,2025-07-11,2025-07-01,1653,USA,Net 60,3,33388.98,2478.82,C3,18,Credit Card,3,5,Pending,Match,-39.12,8,0,0
100544,2025-06-28,2025-07-12,2025-07-02,1971,Germany,Net 45,2,22911.34,677.47,D4,5,ACH,4,25,Pending,Match,324.84,-9,1,0
100545,2025-06-29,2025-07-13,2025-07-03,1882,USA,Net 30,3,41859.24,4429.65,D4,28,Cash,2,19,Pending,Match,199.69,6,0,0
100546,2025-06-30,2025-07-14,2025-07-04,1470,China,Net 60,8,48099.83,3249.65,B2,5,Cash,3,10,Overdue,Match,467.39,-10,0,0
100547,2025-07-01,2025-07-15,2025-07-05,1142,India,Net 60,6,38866.55,826.09,A1,12,Wire,4,26,Overdue,Mismatch,311.11,-2,0,0
100548,2025-07-02,2025-07-16,2025-07-06,1091,USA,Net 60,7,31285.87,177.91,D4,18,Wire,4,25,Overdue,Mismatch,-422.52,2,0,0
100549,2025-07-03,2025-07-17,2025-07-07,1353,China,Net 45,6,30536.25,714.14,B2,18,Cash,2,16,Paid,Mismatch,213.28,-7,0,0
100550,2025-07-04,2025-07-18,2025-07-08,1833,USA,Net 45,6,42548.76,3047.9,C3,18,Credit Card,4,1,Overdue,Match,35.5,-6,0,0
100551,2025-07-05,2025-07-19,2025-07-09,1799,USA,Net 30,3,27289.59,904.69,C3,18,Cash,2,6,Paid,Match,-483.56,7,0,0
100552,2025-07-06,2025-07-20,2025-07-10,1726,India,Net 45,8,40291.06,1136.56,C3,18,ACH,2,9,Paid,Match,-248.69,-1,0,0
100553,2025-07-07,2025-07-21,2025-07-11,1958,UK,Net 45,7,25689.82,135.45,C3,18,Wire,2,28,Paid,Match,421.76,-7,0,0
100554,2025-07-08,2025-07-22,2025-07-12,1853,UK,Net 30,7,3590.99,3617.42,B2,12,Wire,2,5,Overdue,Match,426.06,2,0,0
100555,2025-07-09,2025-07-23,2025-07-13,1050,USA,Net 60,6,19505.38,4053.72,X99,18,Cash,4,53,Paid,Mismatch,6455.74,2,1,1
100556,2025-07-10,2025-07-24,2025-07-14,1664,Germany,Net 60,5,22499.83,3986.27,B2,18,Credit Card,3,14,Overdue,Match,481.78,6,0,0
100557,2025-07-11,2025-07-25,2025-07-15,1697,China,Net 30,8,7510.05,646.57,A1,18,Credit Card,3,10,Overdue,Match,306.55,-3,1,0
100558,2025-07-12,2025-07-26,2025-07-16,1574,Germany,Net 60,5,5573.57,4517.47,C3,12,ACH,1,2,Paid,Match,-489.8,-7,1,0
100559,2025-07-13,2025-07-27,2025-07-17,1189,Germany,Net 45,9,27005.52,3364.67,D4,18,Wire,2,5,Paid,Match,-212.17,-8,0,0
100560,2025-07-14,2025-07-28,2025-07-18,1124,USA,Net 30,9,4714.61,4488.67,D4,12,Cash,4,1,Paid,Match,-469.38,0,0,0
100561,2025-07-15,2025-07-29,2025-07-19,1149,USA,Net 30,1,15495.79,2241.33,D4,5,Cash,4,25,Overdue,Match,-405.89,1,0,0
100562,2025-07-16,2025-07-30,2025-07-20,1313,USA,Net 30,6,37357.55,2190.4,A1,18,Wire,1,10,Overdue,Match,-281.16,-2,0,0
100563,2025-07-17,2025-07-31,2025-07-21,1569,USA,Net 60,7,48239.39,3924.84,C3,28,Cash,3,29,Paid,Match,3.56,4,0,0
100564,2025-07-18,2025-08-01,2025-07-22,1341,UK,Net 30,3,36034.59,475.56,B2,12,Wire,4,26,Paid,Match,347.53,2,0,0
100565,2025-07-19,2025-08-02,2025-07-23,1304,USA,Net 30,7,49634.96,2609.16,X99,5,Credit Card,1,45,Pending,Mismatch,8930.95,-6,1,1
100566,2025-07-20,2025-08-03,2025-07-24,1691,UK,Net 30,7,35067.73,4183.56,A1,12,Credit Card,3,22,Paid,Match,116.2,-6,0,0
100567,2025-07-21,2025-08-04,2025-07-25,1681,UK,Net 60,2,15042.83,4152.66,D4,12,Cash,4,27,Pending,Match,428.18,8,0,0
100568,2025-07-22,2025-08-05,2025-07-26,1837,USA,Net 45,7,33766.6,4781.1,B2,5,Credit Card,2,9,Pending,Match,0.06,0,0,0
100569,2025-07-23,2025-08-06,2025-07-27,1782,India,Net 30,1,35256.76,3494.38,C3,18,Credit Card,1,3,Overdue,Mismatch,389.04,-2,0,0
100570,2025-07-24,2025-08-07,2025-07-28,1053,China,Net 45,5,18900.49,1046.78,B2,18,ACH,4,15,Overdue,Match,-45.93,-8,0,0
100571,2025-07-25,2025-08-08,2025-07-29,1443,Germany,Net 60,9,1376.84,111.2,C3,12,Wire,1,4,Pending,Match,-222.77,7,0,0
100572,2025-07-26,2025-08-09,2025-07-30,1612,UK,Net 60,7,35308.39,2402.28,C3,5,Wire,1,13,Pending,Match,416.41,2,0,0
100573,2025-07-27,2025-08-10,2025-07-31,1992,China,Net 60,7,1574.15,2573.38,X99,18,Cash,1,53,Paid,Mismatch,9854.9,1,1,1
100574,2025-07-28,2025-08-11,2025-08-01,1263,India,Net 60,2,31743.81,1208.91,D4,12,Wire,2,20,Pending,Match,3.4,-2,0,0
100575,2025-07-29,2025-08-12,2025-08-02,1052,Germany,Net 45,8,8599.02,632.24,B2,28,ACH,3,17,Paid,Mismatch,-171.14,-1,0,0
100576,2025-07-30,2025-08-13,2025-08-03,1571,Germany,Net 30,3,28497.37,2935.18,D4,5,Cash,3,23,Overdue,Match,162.84,2,0,0
100577,2025-07-31,2025-08-14,2025-08-04,1619,UK,Net 60,8,25443.69,3823.64,B2,28,Cash,4,5,Paid,Mismatch,495.03,9,0,0
100578,2025-08-01,2025-08-15,2025-08-05,1004,USA,Net 60,3,1168.93,4965.84,A1,28,Wire,2,15,Overdue,Match,-474.49,9,0,0
100579,2025-08-02,2025-08-16,2025-08-06,1102,India,Net 45,7,18461.86,3793.93,A1,12,Credit Card,3,8,Pending,Match,399.85,2,0,0
100580,2025-08-03,2025-08-17,2025-08-07,1195,UK,Net 45,2,30254.01,3970.23,B2,5,Credit Card,4,25,Pending,Match,-496.07,-2,0,0
100581,2025-08-04,2025-08-18,2025-08-08,1773,India,Net 60,4,42506.02,3086.14,B2,18,Credit Card,4,5,Pending,Match,-135.77,-1,1,0
100582,2025-08-05,2025-08-19,2025-08-09,1876,USA,Net 30,6,44487.78,4929.75,X99,18,Credit Card,1,67,Paid,Mismatch,5710.62,8,1,1
100583,2025-08-06,2025-08-20,2025-08-10,1991,USA,Net 30,9,24450.57,3203.38,B2,12,ACH,2,13,Overdue,Match,257.34,-5,0,0
100584,2025-08-07,2025-08-21,2025-08-11,1883,UK,Net 60,5,36556.91,4302.66,C3,18,Cash,3,1,Overdue,Match,-449.39,-4,0,0
100585,2025-08-08,2025-08-22,2025-08-12,1349,USA,Net 45,9,16164.5,4729.47,D4,18,Credit Card,2,1,Overdue,Match,53.48,4,0,0
100586,2025-08-09,2025-08-23,2025-08-13,1046,China,Net 60,5,17438.23,4649.99,C3,28,ACH,2,7,Overdue,Match,-205.07,8,0,0
100587,2025-08-10,2025-08-24,2025-08-14,1866,Germany,Net 60,8,10125.94,1913.26,D4,28,Cash,3,22,Overdue,Match,-366.33,3,0,0
100588,2025-08-11,2025-08-25,2025-08-15,1822,UK,Net 45,1,28316.43,402.52,D4,5,Wire,3,5,Paid,Match,271.82,5,0,0
100589,2025-08-12,2025-08-26,2025-08-16,1935,India,Net 60,7,16070.93,867.65,D4,28,Wire,2,14,Overdue,Match,-282.58,3,0,0
100590,2025-08-13,2025-08-27,2025-08-17,1819,China,Net 60,4,4676.36,305.52,C3,18,ACH,4,15,Pending,Match,-276.32,9,0,0
100591,2025-08-14,2025-08-28,2025-08-18,1655,UK,Net 60,5,34407.8,535.93,B2,5,Cash,2,21,Overdue,Match,-224.92,-9,0,0
100592,2025-08-15,2025-08-29,2025-08-19,1268,USA,Net 45,6,35533.78,931.41,C3,5,Credit Card,3,25,Pending,Match,86.77,-2,0,0
100593,2025-08-16,2025-08-30,2025-08-20,1369,USA,Net 30,5,18319.62,1712.06,C3,12,Cash,2,17,Paid,Match,159.67,-8,0,0
100594,2025-08-17,2025-08-31,2025-08-21,1635,USA,Net 30,1,4297.81,2722.26,D4,28,Credit Card,3,24,Paid,Match,-482.4,-5,0,0
100595,2025-08-18,2025-09-01,2025-08-22,1105,USA,Net 45,9,21601.74,3561.29,X99,5,ACH,4,53,Pending,Mismatch,9965.78,-6,1,1
100596,2025-08-19,2025-09-02,2025-08-23,1669,India,Net 30,2,22395.61,1062.53,A1,18,Credit Card,2,7,Overdue,Match,-69.03,3,0,0
100597,2025-08-20,2025-09-03,2025-08-24,1658,China,Net 60,9,33599.21,3365.89,C3,5,ACH,4,22,Paid,Match,-168.02,4,0,0
100598,2025-08-21,2025-09-04,2025-08-25,1656,Germany,Net 30,2,16113.11,3524.25,D4,5,Cash,2,26,Paid,Match,384.17,7,0,0
100599,2025-08-22,2025-09-05,2025-08-26,1119,India,Net 60,9,34288.66,2797.53,C3,12,Cash,2,18,Paid,Match,287.71,6,0,0
100600,2025-08-23,2025-09-06,2025-08-27,1830,India,Net 30,6,43638.68,4519.05,C3,18,Credit Card,3,28,Overdue,Match,125.89,-2,0,0
100601,2025-08-24,2025-09-07,2025-08-28,1786,Germany,Net 45,9,12255.56,563.86,B2,18,Cash,1,29,Pending,Match,-161.96,8,0,0
100602,2025-08-25,2025-09-08,2025-08-29,1603,Germany,Net 30,6,48956.52,893.84,D4,28,Credit Card,3,19,Pending,Match,200.67,-2,0,0
100603,2025-08-26,2025-09-09,2025-08-30,1057,USA,Net 30,6,19625.22,2149.04,A1,18,Cash,2,20,Overdue,Match,343.64,5,0,0
100604,2025-08-27,2025-09-10,2025-08-31,1950,India,Net 30,2,13729.3,642.3,A1,5,Wire,1,7,Paid,Match,94.83,-5,0,0
100605,2025-08-28,2025-09-11,2025-09-01,1345,UK,Net 45,8,21364.8,2835.82,A1,18,Credit Card,1,8,Overdue,Match,284.46,-3,0,0
100606,2025-08-29,2025-09-12,2025-09-02,1740,Germany,Net 30,3,5172.68,1998.02,C3,18,ACH,4,13,Overdue,Match,249.1,-8,1,0
100607,2025-08-30,2025-09-13,2025-09-03,1473,Germany,Net 45,7,6722.44,1430.13,D4,5,Wire,2,27,Pending,Match,71.74,-6,0,0
100608,2025-08-31,2025-09-14,2025-09-04,1116,China,Net 60,5,21014.49,858.25,B2,12,ACH,3,18,Overdue,Match,-187.82,-4,0,0
100609,2025-09-01,2025-09-15,2025-09-05,1829,UK,Net 30,3,38241.0,1683.34,A1,28,Cash,1,24,Overdue,Match,245.78,-10,0,0
100610,2025-09-02,2025-09-16,2025-09-06,1790,UK,Net 45,1,45065.46,3043.72,D4,28,Wire,1,11,Paid,Match,-293.2,-7,0,0
100611,2025-09-03,2025-09-17,2025-09-07,1126,Germany,Net 45,8,33408.49,2883.17,A1,12,Cash,3,9,Paid,Mismatch,279.49,5,0,0
100612,2025-09-04,2025-09-18,2025-09-08,1392,USA,Net 30,3,5708.37,826.48,B2,5,Credit Card,3,23,Pending,Match,304.55,3,0,0
100613,2025-09-05,2025-09-19,2025-09-09,1907,China,Net 60,2,33764.98,633.35,D4,28,ACH,1,1,Paid,Match,322.14,-10,0,0
100614,2025-09-06,2025-09-20,2025-09-10,1640,UK,Net 45,1,31953.68,143.12,C3,12,Cash,3,22,Overdue,Match,-27.08,-7,0,0
100615,2025-09-07,2025-09-21,2025-09-11,1057,Germany,Net 30,4,40385.31,72.0,C3,12,ACH,4,8,Overdue,Match,-307.52,-1,0,0
100616,2025-09-08,2025-09-22,2025-09-12,1633,UK,Net 60,8,41349.81,4400.25,A1,12,ACH,1,21,Overdue,Match,-400.28,0,0,0
100617,2025-09-09,2025-09-23,2025-09-13,1512,China,Net 45,3,43476.05,234.99,A1,28,Cash,4,12,Pending,Match,243.36,-4,0,0
100618,2025-09-10,2025-09-24,2025-09-14,1750,China,Net 45,1,20999.51,3658.79,X99,28,Credit Card,2,58,Paid,Mismatch,8202.81,-7,1,1
100619,2025-09-11,2025-09-25,2025-09-15,1801,India,Net 60,4,35044.29,4361.21,B2,28,ACH,4,15,Overdue,Match,150.84,-10,0,0
100620,2025-09-12,2025-09-26,2025-09-16,1095,Germany,Net 60,9,13778.39,499.31,A1,28,Cash,3,21,Paid,Match,-355.84,-10,0,0
100621,2025-09-13,2025-09-27,2025-09-17,1637,China,Net 30,1,49967.15,2187.14,D4,18,Credit Card,1,24,Paid,Match,434.9,6,1,0
100622,2025-09-14,2025-09-28,2025-09-18,1117,India,Net 30,2,9179.04,4811.89,B2,12,Cash,4,18,Paid,Match,489.1,-1,0,0
100623,2025-09-15,2025-09-29,2025-09-19,1559,India,Net 45,9,1000.66,4172.35,A1,18,Credit Card,3,17,Paid,Mismatch,-66.62,-6,0,0
100624,2025-09-16,2025-09-30,2025-09-20,1600,UK,Net 60,2,7866.03,2453.62,A1,12,ACH,3,15,Pending,Match,94.83,-4,0,0
100625,2025-09-17,2025-10-01,2025-09-21,1487,UK,Net 60,3,38905.68,3815.23,D4,28,Wire,4,20,Pending,Match,277.23,-3,0,0
100626,2025-09-18,2025-10-02,2025-09-22,1236,India,Net 60,7,22615.79,4168.55,A1,28,Cash,1,20,Pending,Mismatch,236.39,-9,0,0
100627,2025-09-19,2025-10-03,2025-09-23,1884,UK,Net 45,3,22651.26,1746.65,C3,18,ACH,4,9,Overdue,Match,467.79,-2,0,0
100628,2025-09-20,2025-10-04,2025-09-24,1896,China,Net 60,9,47773.63,4461.84,B2,5,Cash,2,3,Overdue,Match,-385.12,-7,0,0
100629,2025-09-21,2025-10-05,2025-09-25,1271,USA,Net 60,6,46021.93,2357.66,B2,28,Cash,4,20,Overdue,Match,80.72,1,0,0
100630,2025-09-22,2025-10-06,2025-09-26,1188,China,Net 45,3,15904.14,2643.76,C3,5,Credit Card,4,19,Pending,Match,191.93,0,0,0
100631,2025-09-23,2025-10-07,2025-09-27,1998,India,Net 30,9,10848.38,4998.54,D4,12,Cash,1,18,Paid,Match,390.1,-6,0,0
100632,2025-09-24,2025-10-08,2025-09-28,1703,India,Net 30,1,42499.87,4218.08,C3,18,Credit Card,4,20,Pending,Match,374.11,1,0,0
100633,2025-09-25,2025-10-09,2025-09-29,1446,China,Net 45,3,45347.94,1815.23,C3,5,ACH,3,8,Overdue,Mismatch,478.0,-7,0,0
100634,2025-09-26,2025-10-10,2025-09-30,1580,UK,Net 60,1,27309.05,61.62,B2,5,Cash,1,1,Overdue,Match,12.08,2,0,0
100635,2025-09-27,2025-10-11,2025-10-01,1789,UK,Net 45,2,31656.47,3134.61,D4,28,ACH,3,24,Paid,Match,330.76,-10,0,0
100636,2025-09-28,2025-10-12,2025-10-02,1860,India,Net 30,8,13217.26,3522.53,A1,5,Wire,1,24,Pending,Match,-72.72,7,0,0
100637,2025-09-29,2025-10-13,2025-10-03,1246,Germany,Net 30,7,40139.73,3257.51,C3,5,ACH,2,15,Paid,Match,-77.69,-7,1,0
100638,2025-09-30,2025-10-14,2025-10-04,1962,UK,Net 45,2,31790.06,4839.63,C3,12,Cash,2,19,Pending,Match,-246.65,-7,0,0
100639,2025-10-01,2025-10-15,2025-10-05,1075,China,Net 45,2,25423.92,4316.23,D4,18,Wire,2,26,Overdue,Mismatch,318.24,-3,1,0
100640,2025-10-02,2025-10-16,2025-10-06,1153,UK,Net 30,9,3475.37,2249.67,C3,28,Credit Card,4,10,Paid,Match,485.82,9,0,0
100641,2025-10-03,2025-10-17,2025-10-07,1655,China,Net 45,6,45838.78,323.66,D4,28,Wire,2,12,Paid,Mismatch,-243.66,-5,0,0
100642,2025-10-04,2025-10-18,2025-10-08,1434,India,Net 30,5,30964.85,2385.53,A1,5,Cash,1,28,Pending,Match,-443.87,-7,0,0
100643,2025-10-05,2025-10-19,2025-10-09,1996,UK,Net 45,6,10038.21,3449.33,D4,12,Cash,2,6,Pending,Match,315.54,-7,0,0
100644,2025-10-06,2025-10-20,2025-10-10,1085,China,Net 45,9,30516.11,3042.47,A1,5,ACH,1,29,Pending,Match,120.23,0,0,0
100645,2025-10-07,2025-10-21,2025-10-11,1696,India,Net 45,7,34034.44,2695.3,D4,5,Credit Card,3,13,Overdue,Match,459.7,-2,0,0
100646,2025-10-08,2025-10-22,2025-10-12,1284,Germany,Net 30,9,26525.63,2349.41,C3,28,Cash,4,4,Pending,Mismatch,-247.76,3,0,0
100647,2025-10-09,2025-10-23,2025-10-13,1973,China,Net 45,4,36046.04,1475.87,X99,5,Cash,3,65,Overdue,Mismatch,7194.77,-7,1,1
100648,2025-10-10,2025-10-24,2025-10-14,1219,Germany,Net 30,2,29281.97,1393.96,C3,5,Credit Card,3,17,Pending,Match,-7.56,2,0,0
100649,2025-10-11,2025-10-25,2025-10-15,1068,Germany,Net 30,8,47414.59,2506.16,A1,12,Credit Card,2,1,Pending,Match,-414.53,-5,0,0
100650,2025-10-12,2025-10-26,2025-10-16,1046,USA,Net 45,4,3158.01,811.41,D4,28,ACH,2,5,Overdue,Match,-238.21,2,0,0
100651,2025-10-13,2025-10-27,2025-10-17,1093,UK,Net 45,9,5759.16,1710.02,D4,18,Wire,2,28,Pending,Match,-374.02,-8,0,0
100652,2025-10-14,2025-10-28,2025-10-18,1749,China,Net 30,4,9096.75,1626.66,D4,12,Credit Card,3,24,Overdue,Match,-275.87,-4,0,0
100653,2025-10-15,2025-10-29,2025-10-19,1957,Germany,Net 30,8,34663.47,2939.79,B2,12,Cash,4,17,Overdue,Match,-393.86,-10,0,0
100654,2025-10-16,2025-10-30,2025-10-20,1452,USA,Net 60,9,32457.0,342.74,X99,12,Credit Card,4,38,Pending,Mismatch,7029.27,0,1,1
100655,2025-10-17,2025-10-31,2025-10-21,1203,India,Net 30,9,44656.91,4150.05,A1,28,Cash,3,7,Pending,Match,-221.44,-9,0,0
100656,2025-10-18,2025-11-01,2025-10-22,1911,China,Net 60,4,36777.43,2816.27,B2,5,ACH,4,16,Paid,Match,-56.1,-6,0,0
100657,2025-10-19,2025-11-02,2025-10-23,1217,Germany,Net 60,1,25663.6,3357.43,X99,18,Wire,3,30,Pending,Mismatch,8181.91,3,1,1
100658,2025-10-20,2025-11-03,2025-10-24,1473,UK,Net 60,3,49595.67,3518.44,B2,28,ACH,3,12,Paid,Match,177.32,2,0,0
100659,2025-10-21,2025-11-04,2025-10-25,1431,USA,Net 45,9,13672.34,1464.51,B2,5,Credit Card,4,14,Pending,Match,118.04,5,0,0
100660,2025-10-22,2025-11-05,2025-10-26,1340,Germany,Net 45,4,41742.99,2357.15,C3,12,Cash,1,19,Overdue,Match,205.56,4,1,0
100661,2025-10-23,2025-11-06,2025-10-27,1550,UK,Net 30,5,21626.12,4781.67,A1,28,Credit Card,1,11,Overdue,Match,328.82,-8,0,0
100662,2025-10-24,2025-11-07,2025-10-28,1611,Germany,Net 60,7,32612.39,3835.86,A1,5,Credit Card,2,12,Paid,Match,377.67,-5,0,0
100663,2025-10-25,2025-11-08,2025-10-29,1288,China,Net 45,5,36499.79,4848.09,A1,18,Credit Card,4,13,Pending,Match,142.64,-2,0,0
100664,2025-10-26,2025-11-09,2025-10-30,1253,China,Net 45,4,31870.83,3733.81,B2,18,Credit Card,2,8,Paid,Match,390.01,-8,0,0
100665,2025-10-27,2025-11-10,2025-10-31,1733,China,Net 45,2,7455.11,886.24,D4,5,Wire,3,1,Pending,Match,35.4,2,0,0
100666,2025-10-28,2025-11-11,2025-11-01,1356,USA,Net 45,2,22426.08,332.03,C3,28,Cash,1,9,Pending,Match,-222.71,2,0,0
100667,2025-10-29,2025-11-12,2025-11-02,1022,China,Net 45,4,28291.2,2892.53,A1,12,Credit Card,4,28,Overdue,Match,380.08,-4,0,0
100668,2025-10-30,2025-11-13,2025-11-03,1761,UK,Net 60,9,42527.67,1795.49,B2,5,Cash,4,2,Paid,Match,41.47,-6,0,0
100669,2025-10-31,2025-11-14,2025-11-04,1521,Germany,Net 60,8,22460.46,1384.53,D4,12,Wire,4,14,Overdue,Match,406.14,-3,0,0
100670,2025-11-01,2025-11-15,2025-11-05,1757,India,Net 60,3,45977.99,4037.98,C3,18,Cash,1,13,Overdue,Match,-459.83,-3,0,0
100671,2025-11-02,2025-11-16,2025-11-06,1836,UK,Net 60,9,22298.52,1841.3,C3,5,Cash,2,16,Overdue,Match,-102.48,-4,1,0
100672,2025-11-03,2025-11-17,2025-11-07,1099,UK,Net 30,5,27664.6,1591.83,A1,18,Wire,1,2,Paid,Match,447.81,8,0,0
100673,2025-11-04,2025-11-18,2025-11-08,1801,China,Net 60,3,39916.14,4251.44,A1,12,Credit Card,2,4,Pending,Match,-250.35,-4,0,0
100674,2025-11-05,2025-11-19,2025-11-09,1179,USA,Net 45,5,29361.85,4232.97,D4,12,Cash,3,12,Pending,Mismatch,441.54,-7,0,0
100675,2025-11-06,2025-11-20,2025-11-10,1222,Germany,Net 60,4,48030.79,1788.27,B2,5,ACH,3,16,Paid,Match,453.9,-1,0,0
100676,2025-11-07,2025-11-21,2025-11-11,1905,USA,Net 30,8,33186.62,4164.17,D4,5,Cash,2,10,Pending,Match,382.14,2,0,0
100677,2025-11-08,2025-11-22,2025-11-12,1761,Germany,Net 45,5,26374.12,4255.38,A1,5,Credit Card,3,3,Paid,Match,63.67,-7,0,0
100678,2025-11-09,2025-11-23,2025-11-13,1658,Germany,Net 60,8,1667.8,2125.41,D4,18,ACH,3,4,Paid,Match,146.94,8,0,0
100679,2025-11-10,2025-11-24,2025-11-14,1441,USA,Net 60,9,20979.78,341.7,B2,12,Credit Card,4,6,Pending,Match,369.62,-1,0,0
100680,2025-11-11,2025-11-25,2025-11-15,1607,UK,Net 60,4,15312.8,17.91,C3,12,Cash,4,23,Overdue,Match,275.9,-4,0,0
100681,2025-11-12,2025-11-26,2025-11-16,1768,Germany,Net 45,7,37531.23,2621.23,C3,18,Wire,1,5,Paid,Match,130.09,-6,0,0
100682,2025-11-13,2025-11-27,2025-11-17,1324,USA,Net 45,2,10809.74,1726.94,C3,5,Credit Card,1,18,Paid,Match,482.26,-8,1,0
100683,2025-11-14,2025-11-28,2025-11-18,1515,Germany,Net 30,6,10658.39,4985.69,C3,28,Credit Card,1,3,Paid,Match,185.68,-9,0,0
100684,2025-11-15,2025-11-29,2025-11-19,1015,India,Net 45,8,9881.19,3864.33,A1,5,Wire,4,10,Paid,Match,475.48,0,0,0
